protein,gn,cancer_mut_count
CCR1,gnNTr.Cm43,NA
CCR2,gnNTr.Cm43,NA
CCR3,gnNTr.Cm43,NA
CCR4,gnNTr.Cm43,NA
CCR5,gnNTr.Cm43,NA
CCR6,gnNTr.Cm43,NA
CCR7,gnNTr.Cm43,0
CCR8,gnNTr.Cm43,NA
CCR9,gnNTr.Cm43,NA
CCR10,gnNTr.Cm43,NA
CXCR1,gnNTr.Cm43,NA
CXCR2,gnNTr.Cm43,NA
CXCR3,gnNTr.Cm43,NA
CXCR4,gnNTr.Cm43,NA
CXCR5,gnNTr.Cm43,NA
CXCR6,gnNTr.Cm43,NA
CX3CR1,gnNTr.Cm43,NA
XCR1,gnNTr.Cm43,NA
ACKR1,gnNTr.Cm43,0
ACKR2,gnNTr.Cm43,NA
ACKR3,gnNTr.Cm43,NA
ACKR4,gnNTr.Cm43,NA
CCRL2,gnNTr.Cm43,NA
CCR1,gnNTr.Cm42,NA
CCR2,gnNTr.Cm42,NA
CCR3,gnNTr.Cm42,NA
CCR4,gnNTr.Cm42,NA
CCR5,gnNTr.Cm42,NA
CCR6,gnNTr.Cm42,NA
CCR7,gnNTr.Cm42,0
CCR8,gnNTr.Cm42,NA
CCR9,gnNTr.Cm42,NA
CCR10,gnNTr.Cm42,NA
CXCR1,gnNTr.Cm42,NA
CXCR2,gnNTr.Cm42,NA
CXCR3,gnNTr.Cm42,0
CXCR4,gnNTr.Cm42,NA
CXCR5,gnNTr.Cm42,NA
CXCR6,gnNTr.Cm42,NA
CX3CR1,gnNTr.Cm42,NA
XCR1,gnNTr.Cm42,NA
ACKR1,gnNTr.Cm42,0
ACKR2,gnNTr.Cm42,NA
ACKR3,gnNTr.Cm42,NA
ACKR4,gnNTr.Cm42,NA
CCRL2,gnNTr.Cm42,NA
CCR1,gnNTr.Cm41,NA
CCR2,gnNTr.Cm41,NA
CCR3,gnNTr.Cm41,NA
CCR4,gnNTr.Cm41,NA
CCR5,gnNTr.Cm41,NA
CCR6,gnNTr.Cm41,NA
CCR7,gnNTr.Cm41,0
CCR8,gnNTr.Cm41,NA
CCR9,gnNTr.Cm41,NA
CCR10,gnNTr.Cm41,NA
CXCR1,gnNTr.Cm41,NA
CXCR2,gnNTr.Cm41,NA
CXCR3,gnNTr.Cm41,0
CXCR4,gnNTr.Cm41,NA
CXCR5,gnNTr.Cm41,NA
CXCR6,gnNTr.Cm41,NA
CX3CR1,gnNTr.Cm41,NA
XCR1,gnNTr.Cm41,NA
ACKR1,gnNTr.Cm41,0
ACKR2,gnNTr.Cm41,NA
ACKR3,gnNTr.Cm41,NA
ACKR4,gnNTr.Cm41,NA
CCRL2,gnNTr.Cm41,NA
CCR1,gnNTr.Cm40,NA
CCR2,gnNTr.Cm40,NA
CCR3,gnNTr.Cm40,NA
CCR4,gnNTr.Cm40,NA
CCR5,gnNTr.Cm40,NA
CCR6,gnNTr.Cm40,NA
CCR7,gnNTr.Cm40,0
CCR8,gnNTr.Cm40,NA
CCR9,gnNTr.Cm40,NA
CCR10,gnNTr.Cm40,NA
CXCR1,gnNTr.Cm40,NA
CXCR2,gnNTr.Cm40,NA
CXCR3,gnNTr.Cm40,0
CXCR4,gnNTr.Cm40,NA
CXCR5,gnNTr.Cm40,NA
CXCR6,gnNTr.Cm40,NA
CX3CR1,gnNTr.Cm40,NA
XCR1,gnNTr.Cm40,NA
ACKR1,gnNTr.Cm40,0
ACKR2,gnNTr.Cm40,NA
ACKR3,gnNTr.Cm40,NA
ACKR4,gnNTr.Cm40,NA
CCRL2,gnNTr.Cm40,NA
CCR1,gnNTr.Cm39,NA
CCR2,gnNTr.Cm39,NA
CCR3,gnNTr.Cm39,NA
CCR4,gnNTr.Cm39,NA
CCR5,gnNTr.Cm39,NA
CCR6,gnNTr.Cm39,NA
CCR7,gnNTr.Cm39,0
CCR8,gnNTr.Cm39,NA
CCR9,gnNTr.Cm39,NA
CCR10,gnNTr.Cm39,NA
CXCR1,gnNTr.Cm39,NA
CXCR2,gnNTr.Cm39,NA
CXCR3,gnNTr.Cm39,0
CXCR4,gnNTr.Cm39,NA
CXCR5,gnNTr.Cm39,NA
CXCR6,gnNTr.Cm39,NA
CX3CR1,gnNTr.Cm39,NA
XCR1,gnNTr.Cm39,NA
ACKR1,gnNTr.Cm39,0
ACKR2,gnNTr.Cm39,NA
ACKR3,gnNTr.Cm39,NA
ACKR4,gnNTr.Cm39,NA
CCRL2,gnNTr.Cm39,NA
CCR1,gnNTr.Cm38,NA
CCR2,gnNTr.Cm38,NA
CCR3,gnNTr.Cm38,NA
CCR4,gnNTr.Cm38,NA
CCR5,gnNTr.Cm38,NA
CCR6,gnNTr.Cm38,NA
CCR7,gnNTr.Cm38,0
CCR8,gnNTr.Cm38,NA
CCR9,gnNTr.Cm38,NA
CCR10,gnNTr.Cm38,NA
CXCR1,gnNTr.Cm38,NA
CXCR2,gnNTr.Cm38,0
CXCR3,gnNTr.Cm38,0
CXCR4,gnNTr.Cm38,NA
CXCR5,gnNTr.Cm38,NA
CXCR6,gnNTr.Cm38,NA
CX3CR1,gnNTr.Cm38,NA
XCR1,gnNTr.Cm38,NA
ACKR1,gnNTr.Cm38,0
ACKR2,gnNTr.Cm38,NA
ACKR3,gnNTr.Cm38,NA
ACKR4,gnNTr.Cm38,NA
CCRL2,gnNTr.Cm38,NA
CCR1,gnNTr.Cm37,NA
CCR2,gnNTr.Cm37,NA
CCR3,gnNTr.Cm37,NA
CCR4,gnNTr.Cm37,NA
CCR5,gnNTr.Cm37,NA
CCR6,gnNTr.Cm37,NA
CCR7,gnNTr.Cm37,0
CCR8,gnNTr.Cm37,NA
CCR9,gnNTr.Cm37,0
CCR10,gnNTr.Cm37,NA
CXCR1,gnNTr.Cm37,NA
CXCR2,gnNTr.Cm37,2
CXCR3,gnNTr.Cm37,0
CXCR4,gnNTr.Cm37,NA
CXCR5,gnNTr.Cm37,0
CXCR6,gnNTr.Cm37,NA
CX3CR1,gnNTr.Cm37,NA
XCR1,gnNTr.Cm37,NA
ACKR1,gnNTr.Cm37,0
ACKR2,gnNTr.Cm37,NA
ACKR3,gnNTr.Cm37,NA
ACKR4,gnNTr.Cm37,NA
CCRL2,gnNTr.Cm37,NA
CCR1,gnNTr.Cm36,NA
CCR2,gnNTr.Cm36,NA
CCR3,gnNTr.Cm36,NA
CCR4,gnNTr.Cm36,NA
CCR5,gnNTr.Cm36,NA
CCR6,gnNTr.Cm36,NA
CCR7,gnNTr.Cm36,0
CCR8,gnNTr.Cm36,NA
CCR9,gnNTr.Cm36,0
CCR10,gnNTr.Cm36,NA
CXCR1,gnNTr.Cm36,NA
CXCR2,gnNTr.Cm36,0
CXCR3,gnNTr.Cm36,2
CXCR4,gnNTr.Cm36,NA
CXCR5,gnNTr.Cm36,0
CXCR6,gnNTr.Cm36,NA
CX3CR1,gnNTr.Cm36,NA
XCR1,gnNTr.Cm36,NA
ACKR1,gnNTr.Cm36,0
ACKR2,gnNTr.Cm36,NA
ACKR3,gnNTr.Cm36,NA
ACKR4,gnNTr.Cm36,NA
CCRL2,gnNTr.Cm36,NA
CCR1,gnNTr.Cm35,NA
CCR2,gnNTr.Cm35,NA
CCR3,gnNTr.Cm35,NA
CCR4,gnNTr.Cm35,NA
CCR5,gnNTr.Cm35,NA
CCR6,gnNTr.Cm35,0
CCR7,gnNTr.Cm35,0
CCR8,gnNTr.Cm35,NA
CCR9,gnNTr.Cm35,0
CCR10,gnNTr.Cm35,NA
CXCR1,gnNTr.Cm35,NA
CXCR2,gnNTr.Cm35,0
CXCR3,gnNTr.Cm35,1
CXCR4,gnNTr.Cm35,NA
CXCR5,gnNTr.Cm35,0
CXCR6,gnNTr.Cm35,NA
CX3CR1,gnNTr.Cm35,NA
XCR1,gnNTr.Cm35,NA
ACKR1,gnNTr.Cm35,0
ACKR2,gnNTr.Cm35,0
ACKR3,gnNTr.Cm35,NA
ACKR4,gnNTr.Cm35,NA
CCRL2,gnNTr.Cm35,NA
CCR1,gnNTr.Cm34,NA
CCR2,gnNTr.Cm34,NA
CCR3,gnNTr.Cm34,NA
CCR4,gnNTr.Cm34,NA
CCR5,gnNTr.Cm34,NA
CCR6,gnNTr.Cm34,0
CCR7,gnNTr.Cm34,0
CCR8,gnNTr.Cm34,NA
CCR9,gnNTr.Cm34,0
CCR10,gnNTr.Cm34,NA
CXCR1,gnNTr.Cm34,NA
CXCR2,gnNTr.Cm34,0
CXCR3,gnNTr.Cm34,1
CXCR4,gnNTr.Cm34,NA
CXCR5,gnNTr.Cm34,1
CXCR6,gnNTr.Cm34,NA
CX3CR1,gnNTr.Cm34,NA
XCR1,gnNTr.Cm34,NA
ACKR1,gnNTr.Cm34,0
ACKR2,gnNTr.Cm34,0
ACKR3,gnNTr.Cm34,NA
ACKR4,gnNTr.Cm34,NA
CCRL2,gnNTr.Cm34,NA
CCR1,gnNTr.Cm33,NA
CCR2,gnNTr.Cm33,NA
CCR3,gnNTr.Cm33,NA
CCR4,gnNTr.Cm33,NA
CCR5,gnNTr.Cm33,NA
CCR6,gnNTr.Cm33,0
CCR7,gnNTr.Cm33,1
CCR8,gnNTr.Cm33,NA
CCR9,gnNTr.Cm33,1
CCR10,gnNTr.Cm33,NA
CXCR1,gnNTr.Cm33,NA
CXCR2,gnNTr.Cm33,4
CXCR3,gnNTr.Cm33,0
CXCR4,gnNTr.Cm33,NA
CXCR5,gnNTr.Cm33,0
CXCR6,gnNTr.Cm33,NA
CX3CR1,gnNTr.Cm33,NA
XCR1,gnNTr.Cm33,NA
ACKR1,gnNTr.Cm33,0
ACKR2,gnNTr.Cm33,0
ACKR3,gnNTr.Cm33,0
ACKR4,gnNTr.Cm33,NA
CCRL2,gnNTr.Cm33,NA
CCR1,gnNTr.Cm32,NA
CCR2,gnNTr.Cm32,NA
CCR3,gnNTr.Cm32,NA
CCR4,gnNTr.Cm32,NA
CCR5,gnNTr.Cm32,NA
CCR6,gnNTr.Cm32,0
CCR7,gnNTr.Cm32,0
CCR8,gnNTr.Cm32,NA
CCR9,gnNTr.Cm32,0
CCR10,gnNTr.Cm32,NA
CXCR1,gnNTr.Cm32,NA
CXCR2,gnNTr.Cm32,0
CXCR3,gnNTr.Cm32,0
CXCR4,gnNTr.Cm32,NA
CXCR5,gnNTr.Cm32,0
CXCR6,gnNTr.Cm32,NA
CX3CR1,gnNTr.Cm32,NA
XCR1,gnNTr.Cm32,NA
ACKR1,gnNTr.Cm32,0
ACKR2,gnNTr.Cm32,0
ACKR3,gnNTr.Cm32,0
ACKR4,gnNTr.Cm32,NA
CCRL2,gnNTr.Cm32,NA
CCR1,gnNTr.Cm31,NA
CCR2,gnNTr.Cm31,0
CCR3,gnNTr.Cm31,NA
CCR4,gnNTr.Cm31,NA
CCR5,gnNTr.Cm31,NA
CCR6,gnNTr.Cm31,0
CCR7,gnNTr.Cm31,1
CCR8,gnNTr.Cm31,NA
CCR9,gnNTr.Cm31,0
CCR10,gnNTr.Cm31,NA
CXCR1,gnNTr.Cm31,NA
CXCR2,gnNTr.Cm31,0
CXCR3,gnNTr.Cm31,0
CXCR4,gnNTr.Cm31,NA
CXCR5,gnNTr.Cm31,0
CXCR6,gnNTr.Cm31,NA
CX3CR1,gnNTr.Cm31,NA
XCR1,gnNTr.Cm31,NA
ACKR1,gnNTr.Cm31,0
ACKR2,gnNTr.Cm31,0
ACKR3,gnNTr.Cm31,0
ACKR4,gnNTr.Cm31,NA
CCRL2,gnNTr.Cm31,NA
CCR1,gnNTr.Cm30,NA
CCR2,gnNTr.Cm30,0
CCR3,gnNTr.Cm30,NA
CCR4,gnNTr.Cm30,NA
CCR5,gnNTr.Cm30,NA
CCR6,gnNTr.Cm30,2
CCR7,gnNTr.Cm30,0
CCR8,gnNTr.Cm30,NA
CCR9,gnNTr.Cm30,0
CCR10,gnNTr.Cm30,0
CXCR1,gnNTr.Cm30,NA
CXCR2,gnNTr.Cm30,0
CXCR3,gnNTr.Cm30,1
CXCR4,gnNTr.Cm30,NA
CXCR5,gnNTr.Cm30,0
CXCR6,gnNTr.Cm30,NA
CX3CR1,gnNTr.Cm30,NA
XCR1,gnNTr.Cm30,NA
ACKR1,gnNTr.Cm30,0
ACKR2,gnNTr.Cm30,0
ACKR3,gnNTr.Cm30,0
ACKR4,gnNTr.Cm30,0
CCRL2,gnNTr.Cm30,NA
CCR1,gnNTr.Cm29,NA
CCR2,gnNTr.Cm29,0
CCR3,gnNTr.Cm29,NA
CCR4,gnNTr.Cm29,NA
CCR5,gnNTr.Cm29,NA
CCR6,gnNTr.Cm29,0
CCR7,gnNTr.Cm29,0
CCR8,gnNTr.Cm29,NA
CCR9,gnNTr.Cm29,0
CCR10,gnNTr.Cm29,0
CXCR1,gnNTr.Cm29,0
CXCR2,gnNTr.Cm29,0
CXCR3,gnNTr.Cm29,0
CXCR4,gnNTr.Cm29,NA
CXCR5,gnNTr.Cm29,0
CXCR6,gnNTr.Cm29,NA
CX3CR1,gnNTr.Cm29,NA
XCR1,gnNTr.Cm29,NA
ACKR1,gnNTr.Cm29,0
ACKR2,gnNTr.Cm29,1
ACKR3,gnNTr.Cm29,1
ACKR4,gnNTr.Cm29,0
CCRL2,gnNTr.Cm29,NA
CCR1,gnNTr.Cm28,NA
CCR2,gnNTr.Cm28,0
CCR3,gnNTr.Cm28,NA
CCR4,gnNTr.Cm28,0
CCR5,gnNTr.Cm28,NA
CCR6,gnNTr.Cm28,0
CCR7,gnNTr.Cm28,1
CCR8,gnNTr.Cm28,NA
CCR9,gnNTr.Cm28,0
CCR10,gnNTr.Cm28,0
CXCR1,gnNTr.Cm28,0
CXCR2,gnNTr.Cm28,0
CXCR3,gnNTr.Cm28,0
CXCR4,gnNTr.Cm28,NA
CXCR5,gnNTr.Cm28,0
CXCR6,gnNTr.Cm28,NA
CX3CR1,gnNTr.Cm28,NA
XCR1,gnNTr.Cm28,NA
ACKR1,gnNTr.Cm28,0
ACKR2,gnNTr.Cm28,0
ACKR3,gnNTr.Cm28,0
ACKR4,gnNTr.Cm28,0
CCRL2,gnNTr.Cm28,NA
CCR1,gnNTr.Cm27,NA
CCR2,gnNTr.Cm27,0
CCR3,gnNTr.Cm27,NA
CCR4,gnNTr.Cm27,0
CCR5,gnNTr.Cm27,NA
CCR6,gnNTr.Cm27,0
CCR7,gnNTr.Cm27,0
CCR8,gnNTr.Cm27,NA
CCR9,gnNTr.Cm27,0
CCR10,gnNTr.Cm27,0
CXCR1,gnNTr.Cm27,0
CXCR2,gnNTr.Cm27,0
CXCR3,gnNTr.Cm27,0
CXCR4,gnNTr.Cm27,0
CXCR5,gnNTr.Cm27,0
CXCR6,gnNTr.Cm27,NA
CX3CR1,gnNTr.Cm27,NA
XCR1,gnNTr.Cm27,NA
ACKR1,gnNTr.Cm27,0
ACKR2,gnNTr.Cm27,0
ACKR3,gnNTr.Cm27,0
ACKR4,gnNTr.Cm27,0
CCRL2,gnNTr.Cm27,0
CCR1,gnNTr.Cm26,NA
CCR2,gnNTr.Cm26,2
CCR3,gnNTr.Cm26,NA
CCR4,gnNTr.Cm26,0
CCR5,gnNTr.Cm26,NA
CCR6,gnNTr.Cm26,2
CCR7,gnNTr.Cm26,0
CCR8,gnNTr.Cm26,NA
CCR9,gnNTr.Cm26,0
CCR10,gnNTr.Cm26,0
CXCR1,gnNTr.Cm26,0
CXCR2,gnNTr.Cm26,0
CXCR3,gnNTr.Cm26,0
CXCR4,gnNTr.Cm26,0
CXCR5,gnNTr.Cm26,1
CXCR6,gnNTr.Cm26,NA
CX3CR1,gnNTr.Cm26,NA
XCR1,gnNTr.Cm26,NA
ACKR1,gnNTr.Cm26,0
ACKR2,gnNTr.Cm26,0
ACKR3,gnNTr.Cm26,0
ACKR4,gnNTr.Cm26,1
CCRL2,gnNTr.Cm26,0
CCR1,gnNTr.Cm25,NA
CCR2,gnNTr.Cm25,0
CCR3,gnNTr.Cm25,NA
CCR4,gnNTr.Cm25,0
CCR5,gnNTr.Cm25,NA
CCR6,gnNTr.Cm25,0
CCR7,gnNTr.Cm25,0
CCR8,gnNTr.Cm25,NA
CCR9,gnNTr.Cm25,1
CCR10,gnNTr.Cm25,0
CXCR1,gnNTr.Cm25,0
CXCR2,gnNTr.Cm25,0
CXCR3,gnNTr.Cm25,1
CXCR4,gnNTr.Cm25,0
CXCR5,gnNTr.Cm25,0
CXCR6,gnNTr.Cm25,NA
CX3CR1,gnNTr.Cm25,NA
XCR1,gnNTr.Cm25,NA
ACKR1,gnNTr.Cm25,0
ACKR2,gnNTr.Cm25,3
ACKR3,gnNTr.Cm25,0
ACKR4,gnNTr.Cm25,0
CCRL2,gnNTr.Cm25,0
CCR1,gnNTr.Cm24,NA
CCR2,gnNTr.Cm24,1
CCR3,gnNTr.Cm24,NA
CCR4,gnNTr.Cm24,0
CCR5,gnNTr.Cm24,NA
CCR6,gnNTr.Cm24,0
CCR7,gnNTr.Cm24,0
CCR8,gnNTr.Cm24,0
CCR9,gnNTr.Cm24,0
CCR10,gnNTr.Cm24,0
CXCR1,gnNTr.Cm24,1
CXCR2,gnNTr.Cm24,0
CXCR3,gnNTr.Cm24,0
CXCR4,gnNTr.Cm24,0
CXCR5,gnNTr.Cm24,0
CXCR6,gnNTr.Cm24,NA
CX3CR1,gnNTr.Cm24,NA
XCR1,gnNTr.Cm24,NA
ACKR1,gnNTr.Cm24,0
ACKR2,gnNTr.Cm24,0
ACKR3,gnNTr.Cm24,0
ACKR4,gnNTr.Cm24,0
CCRL2,gnNTr.Cm24,0
CCR1,gnNTr.Cm23,0
CCR2,gnNTr.Cm23,0
CCR3,gnNTr.Cm23,0
CCR4,gnNTr.Cm23,0
CCR5,gnNTr.Cm23,NA
CCR6,gnNTr.Cm23,1
CCR7,gnNTr.Cm23,0
CCR8,gnNTr.Cm23,0
CCR9,gnNTr.Cm23,0
CCR10,gnNTr.Cm23,0
CXCR1,gnNTr.Cm23,0
CXCR2,gnNTr.Cm23,0
CXCR3,gnNTr.Cm23,0
CXCR4,gnNTr.Cm23,0
CXCR5,gnNTr.Cm23,0
CXCR6,gnNTr.Cm23,0
CX3CR1,gnNTr.Cm23,NA
XCR1,gnNTr.Cm23,NA
ACKR1,gnNTr.Cm23,0
ACKR2,gnNTr.Cm23,0
ACKR3,gnNTr.Cm23,1
ACKR4,gnNTr.Cm23,1
CCRL2,gnNTr.Cm23,1
CCR1,gnNTr.Cm22,0
CCR2,gnNTr.Cm22,0
CCR3,gnNTr.Cm22,0
CCR4,gnNTr.Cm22,0
CCR5,gnNTr.Cm22,NA
CCR6,gnNTr.Cm22,0
CCR7,gnNTr.Cm22,0
CCR8,gnNTr.Cm22,0
CCR9,gnNTr.Cm22,1
CCR10,gnNTr.Cm22,0
CXCR1,gnNTr.Cm22,1
CXCR2,gnNTr.Cm22,1
CXCR3,gnNTr.Cm22,1
CXCR4,gnNTr.Cm22,0
CXCR5,gnNTr.Cm22,1
CXCR6,gnNTr.Cm22,0
CX3CR1,gnNTr.Cm22,NA
XCR1,gnNTr.Cm22,NA
ACKR1,gnNTr.Cm22,0
ACKR2,gnNTr.Cm22,1
ACKR3,gnNTr.Cm22,0
ACKR4,gnNTr.Cm22,0
CCRL2,gnNTr.Cm22,0
CCR1,gnNTr.Cm21,0
CCR2,gnNTr.Cm21,0
CCR3,gnNTr.Cm21,0
CCR4,gnNTr.Cm21,0
CCR5,gnNTr.Cm21,NA
CCR6,gnNTr.Cm21,0
CCR7,gnNTr.Cm21,0
CCR8,gnNTr.Cm21,0
CCR9,gnNTr.Cm21,0
CCR10,gnNTr.Cm21,0
CXCR1,gnNTr.Cm21,0
CXCR2,gnNTr.Cm21,0
CXCR3,gnNTr.Cm21,0
CXCR4,gnNTr.Cm21,0
CXCR5,gnNTr.Cm21,0
CXCR6,gnNTr.Cm21,0
CX3CR1,gnNTr.Cm21,NA
XCR1,gnNTr.Cm21,0
ACKR1,gnNTr.Cm21,0
ACKR2,gnNTr.Cm21,1
ACKR3,gnNTr.Cm21,0
ACKR4,gnNTr.Cm21,1
CCRL2,gnNTr.Cm21,0
CCR1,gnNTr.Cm20,0
CCR2,gnNTr.Cm20,1
CCR3,gnNTr.Cm20,1
CCR4,gnNTr.Cm20,0
CCR5,gnNTr.Cm20,NA
CCR6,gnNTr.Cm20,0
CCR7,gnNTr.Cm20,0
CCR8,gnNTr.Cm20,1
CCR9,gnNTr.Cm20,0
CCR10,gnNTr.Cm20,1
CXCR1,gnNTr.Cm20,0
CXCR2,gnNTr.Cm20,1
CXCR3,gnNTr.Cm20,0
CXCR4,gnNTr.Cm20,0
CXCR5,gnNTr.Cm20,0
CXCR6,gnNTr.Cm20,0
CX3CR1,gnNTr.Cm20,1
XCR1,gnNTr.Cm20,1
ACKR1,gnNTr.Cm20,0
ACKR2,gnNTr.Cm20,2
ACKR3,gnNTr.Cm20,1
ACKR4,gnNTr.Cm20,1
CCRL2,gnNTr.Cm20,0
CCR1,gnNTr.Cm19,0
CCR2,gnNTr.Cm19,0
CCR3,gnNTr.Cm19,0
CCR4,gnNTr.Cm19,0
CCR5,gnNTr.Cm19,0
CCR6,gnNTr.Cm19,0
CCR7,gnNTr.Cm19,0
CCR8,gnNTr.Cm19,0
CCR9,gnNTr.Cm19,0
CCR10,gnNTr.Cm19,0
CXCR1,gnNTr.Cm19,1
CXCR2,gnNTr.Cm19,1
CXCR3,gnNTr.Cm19,0
CXCR4,gnNTr.Cm19,1
CXCR5,gnNTr.Cm19,0
