chemokine,chemokine_alternate_name,gpcr,PMID,author_date_journal,data_synopsis,binding_kd_ki_nm,binding_ec50_ic50_nm,signaling_ec50_ic50_nm,chemotaxis_ec50_ic50_nm,chemotaxis_max_nm,data_comment,ligand_type,interaction_strength,evidence_grade,other_comment
CCL2,MCP-1,CCR2,15207250,"Parody, et al. 2004. Cytokine","""The ability of MCP-1 [CCL2] to activate CCR2 expressed in the CHO cell line was evaluated using the calcium flux assay. As shown in Fig. 2B, MCP-1 [CCL2] activated CCR2 with an EC50 value of 0.7 ± 0.1 nM (Table 1). In addition, unlabeled MCP-1 [CCL2] displaced radiolabeled MCP-1 [CCL2] from CHO-CCR2 cells, with an IC50 value of 0.15 ± 0.03 nM. (Fig. 3B, Table 1)...whereas MCP-1 [CCL2] and eotaxin-1 [CCL11] can activate CCR2 beginning at concentrations around the observed IC50 values (Fig. 2B), eotaxin-2 [CCL24] and eotaxin-3 [CCL26] do not activate CCR2, even at concentrations of 1.6 _M, _3-fold and _500-fold higher than their respective IC50 values""",,0.15,0.7,,,Binding assay: competition; Binding ligand: 125I-CCL2; Binding cells: CHO-CCR2 cells; Signaling assay: calcium flux; Signaling cells: CHO-CCR2 cells,agonist,3,A,
CCL2,MCP-1,CCR2,8146186,"Charo, et al. 1994. Proc Natl Acad Sci USA","""Both of the CCR2 clones conferred robust and remarkably specific responses to nanomolar concentrations of MCP-1 [CCL2].The maximal response of the CCR2-B clone was marginally higher than that of CCR2-A,but the EC50 for MCP-1 [CCL2]-induced Ca2+ release was comparable for both (10-15nM,Fig.4A)""",,,10,,,Signaling assay: calcium flux; Signaling cells: Xenopus oocytes,agonist,3,A,"CCR2 has two splice variants (CCR2A, CCR2B) resulting from alternative splicing in C-terminal tail; EC50 for calcium flux listed as ""10-15nM"" so lower end of range (10nM) is listed in table"
CCL2,MCP-1,CCR2,12689946,"Ogilvie, et al. 2003. Blood","""eotaxin-3 [CCL26] competes for the binding of 125I-MCP-1 [CCL2] on monocytes and CCR2-transfected cells. The receptor affinity of eotaxin-3 [CCL26] on monocytes (Figure 1A) is comparable to that of the selective agonist MCP-1 [CCL2], whereas on CCR2-transfected cells (Figure 1B) it is about one order of magnitude lower. Median effective concentration (EC50) values for MCP-1 [CCL2] and eotaxin-3 [CCL26] on monocytes were 8.3 nM and 17.9 nM, respectively. EC50 values for MCP-1 [CCL2] and eotaxin-3 [CCL26] on CCR2-transfected cells were 3.5 nM and 97.6 nM, respectively""",,3.5,,,,Binding assay: competition; Binding ligand: 125I-CCL2,agonist,3,A,
CCL2,MCP-1,CCR3,15207250,"Parody, et al. 2004. Cytokine","""MCP-1 [CCL2] is an agonist of CCR3...As shown in Fig. 3A, eotaxin-1 [CCL11], eotaxin-2 [CCL24], eotaxin-3 [CCL26], and MCP-1 [CCL2] displaced radiolabeled eotaxin-1 [CCL11] from FLAG-CCR3 with 50% inhibitory concentrations (IC50) of 2.1 ± 0.1 nM, 9.7 ± 0.8 nM, 1.2 ± 0.2 nM, and 130 ± 20 nM, respectively, comparable concentrations to the EC50 values reported above (Table 1)...The data reported herein indicate that the three eotaxin group chemokines [CCL11, CCL24, CCL26] and MCP-1 [CCL2] can all activate CCR3 (Fig. 2A).""",,130,200,,,Signaling assay: calcium flux; Signaling cells: CHO cells; Binding assay: competition; Binding cells: CHO cells; Binding ligand: 125I-CCL2,agonist,2,A,"Signaling EC50 given as 200-400nM, lower end of range listed here in table"
CCL2,MCP-1,CCR3,8642344,"Daugherty, et al. 1996. J Exp Med","""We have now cloned a G protein-coupled receptor, CC CKR3 [CCR3], from human eosinophils which, when stably expressed in AML14.3D10 cells bound eotaxin [CCL11], MCP-3 [CCL7] and RANTES [CCL5] with Kds of 0.1, 2.7, and 3.1 nM, respectively. CC CKR3 [CCR3] also bound MCP-1 [CCL2] with lower affinity, but did not bind MIP-1a [CCL3] or MIP-1b [CCL4]""",16,,,,,Binding assay: competition; Binding ligand: 125I-CCL7; Binding cells: transfected AML14.3010 cells,ND,3,A,
CCL2,MCP-1,CCR4,7642634,"Power, et al. 1995. J Bio Chem","""we transiently expressed full-length K5-5 [CCR4] cRNA in X. laevis oocytes. The ability of various chemokines to induce Ca2+ mobilization in oocytes and thus stimulate a Ca2+-activated chloride channel, was assayed using the voltage clamp technique(34, 45)...Of the chemokines tested, only CC chemokines MIP-1_ [CCL3], MCP-1 [CCL2], and RANTES [CCL5] were able to induce a chloride current in the oocytes injected with K5-5 [CCR4] cRNA (Fig. 5a). The amplitude of the transient current induced varied from oocyte to oocyte but was consistently highest in response to MIP-1_ [CCL3] ranging from 50 to 2200 nA (n = 29)""",,,,,,Signaling assay: current induced in voltage-clamped oocytes; Signaling cells: transfected Xenopus oocytes,agonist,ND,C,
CCL2,MCP-1,CCR4,9430724,"Imai, et al. 1998. J Biol Chem","""A 200-fold molar excess of each chemokine was tested for competition with a constant quantity of MDC-SEAP [CCL17] (0.5 nM), pre- sented in Fig. 2D. The chemokines MCP-1 [CCL2], MCP-3 [CCL7], MCP-4 [CCL13], RANTES [CCL5], MIP-1a [CCL3], and MIP-1b [CCL4] did not compete for binding of MDC-SEAP [CCL17] to CCR4.""",,,,,,Binding assay: competition (single point); Binding cells: stably transfected K562 cells; Binding ligand: CCL17-SEAP,no interaction,0,C,200nM of inidcated chemokine was added to compete with 1nM CCL17-SEAP
CCL2,MCP-1,CCR4,9169480,"Imai, et al. 1997. J Biol Chem","""In contrast, other CC chemokines such as RANTES [CCL5], MCP-1 [CCL2], MIP-1_ [CCL3], MIP-1_ [CCL4], and LARC [CCL20] showed no significant competition with TARC [CCL17]-SEAP(His)6 for CCR4 (Fig. 4 D)""; ""TARC [CCL17] induced calcium flux in K562 cells expressing CCR4, whereas RANTES [CCL5], MIP-1_ [CCL3], or MCP-1 [CCL2] did not""",,,,,,"Binding assay: competition and direct (single point); Binding cells: stably transfected K562 cells; Binding ligand: CCL17-SEAP, 125I-CCL3; Signaling assay: calcium flux; Signaling cells: stably transfected K562 cells",no interaction,0,C,200nM of inidcated chemokine was added to compete with 1nM CCL17-SEAP
CCL2,MCP-1,CCR5,9312096,"Samson, et al. 1997. J Biol Chem","""Fig.2 (top panels) shows that MIP-1_ [CCL3], MIP-1_ [CCL4], and RANTES [CCL5], used at a 30 nmconcentration, were potent activators of CCR5. MCP-1 [CCL2] and MCP-3 [CCL7] had no effect on the metabolic activity at the same concentration""",,,,,,Signaling assay: calcium flux; Signaling cells: transfected CHO-K1 cells,no interaction,0,C,
CCL2,MCP-1,CCR5,8663314,"Raport, et al. 1996. J Biol Chem","""No signaling was measured in response to hMCP-1 [CCL2]""; ""competition of 125I-hMIP-1_ [CCL4] binding to CCR5 transfected 293 cells with unlabeled chemokines""; Figure 6B shows no binding of CCL3 at concentrations higher than 100nM",,,,,,Binding assay: competition; Binding ligand: 125I-CCL4; Binding cells: transfected HEK293 cells; Signaling assay:  IP release; Signaling cells: transiently transfected COS-7 cells,no interaction,0,C,"Figure 6B shows 2 daya points at concentrations of and greater than 100nM showing no inhibition of 125I-CCL3 binding, hence evidence grade C"
CCL2,MCP-1,CCR5,10477718,"Blanpain, et al. 1999. Blood","""We investigated the ability of all CC-chemokines available to date to compete for [125I]-MIP-1b [CCL4] binding on CCR5 by using a CHO-K1 cell line stably expressing the receptor...On this basis, the CCR5 ligands could be subdivided into high-affinity ligands (IC50 < 1 nmol/L, RANTES [CCL5] = MCP-2 [CCL8], MIP-1b [CCL4] > MIP-1a [CCL3]), intermediate affinity ligands (1 nmol/L < IC50 < 10 nmol/L, MCP-3 [CCL7] > MCP4 [CCL13]) and low-affinity ligands (IC50 > 10 nmol/L, MCP-1 [CCL2] > eotaxin [CCL11])""; ""For the low-affinity ligands MCP-1 [CCL2] and eotaxin [CCL11], although mild stimulation of the receptor was observed at the highest concentration tested (500 nM), a full dose response could not be established, and the EC50 was estimated as in excess of 500 nmol/L (Table 1)""",,45.7,,,,Binding assay: competition; Binding ligand: 125I-CCL4; Binding cells: transfected CHO-K1 cells; Signaling assay: aequorin-baed calcium flux assay; Signaling cells: CHO-K1 cells,ND,3,A,IC50 calculated from pIC50 listed in Table 1 via 10^(-pIC50); CCL2 shows binding to CCR5 but no caclium flux observed except very mild at high concentration; CCL2 not tested as antagonist in this manuscript
CCL2,MCP-1,CCR6,9294137,"Power, et al. 1995. J Bio Chem","""As shown in Fig. 7,A, preexposure of cells to 1 _M concentrations of IL-8 [CXCL8], GRO_ [CXCL1], NAP-2 [CXCL7], or IP-10 [CXCL10] had no significant effect on the calcium signal induced by 100 nM MIP-3_ (n = 4). Preincubation with 500 nM to 1 _M concentrations of nine human CC chemokines (MCP-1 [CCL2], MIP-1_ [CCL3], MIP-1_ [CCL4], MIP-5 [CCL15], RANTES [CCL5], eotaxin [CCL11], HCC-1 [CCL14], I-309 [CCL1], and fractalkine [CX3CL1]), also had no effect significant on MIP-3_ [CCL20]–induced calcium responses (n = 4; see Fig. 7,B), although preincubation with both 1 _M RANTES [CCL5] and 1 _M HCC-1 [CCL14] did decrease the MIP-3_ [CCL20]–induced calcium response in two out of four experiments. Indeed, only preincubation with 1 _M MIP-3_ [CCL20] led to a significant decrease in MIP-3_ [CCL20]–induced calcium responses""",,,,,,Signaling assay: desenitization assay (reduction in calcium-flux after CCL20 stimulation following initial treatment with indicated chemokine); Signaling cells: transiently transfected HEK293,no interaction,0,D,
CCL2,MCP-1,CCR6,9169459,"Baba, et al. 1997. J Biol Chem","""competition of LARC [CCL20]-SEAP(His)6 binding to GPR-CY4 [CCR6] by various CC chemokines. Raji cells stably transfected with GPR-CY4 [CCR6] (2 _ 10e5 cells) were incubated with 1 nm LARC [CCL20]-SEAP(His)6 in the presence of indicated chemokines at 200 nm""",,,,,,Binding assay: saturation and compeition; Binding ligand: CCL20-SEAP; Binding cells: stably transfected Raji cells,no interaction,0,C,Single point competition assay of indicated ligand at 200nM against stably-expressing CCR6 cells incubated with 1nM CCL20
CCL2,MCP-1,CCR7,9153236,"Yoshida, et al. 1997. J Biol Chem","""As shown in Fig.6, by displacement experiments, ELC [CCL19]-Flag fully competed with ELC [CCL19]-SEAP for EBI1 [CCR7] with an IC50 of 18 nm. In contrast, no other CC chemokines such as MCP-1 [CCL2] (66, 67), MCP-2 [CCL8] (63), MCP-3 [CCL7] (64), eotaxin [CCL11] (30), MIP-1_/LD78_ [CCL3/CCL3L1] (62), MIP-1_ [CCL4] (60), RANTES [CCL5] (61), TARC [CCL17] (53), and LARC [CCL20] (38) were capable of competing with ECL[sic][CCL19]-SEAP for EBI1 [CCR7] (Fig. 6 B). These results indicated that ELC [CCL19] is a highly specific high affinity ligand for EBI1 [CCR7]""",,,,,,Binding assay: competition (single point); Binding ligand: CCL19-SEAP; Binding cells: stably transfected K562 cells,no interaction,0,C,"Chemokines tested at single dose (200nM): ""displacement of ELC-SEAP by other chemokines. K562 cells stably transfected with EBI1 (2 _ 105 cells) were incubated at 16 °C for 1 h with 1 nm of ELC-SEAP in the presence of indicated chemokines at 200 nm"""
CCL2,MCP-1,CXCR1,8550564,"Ahuja, et al. 1996. J Biol Chem","""When [Ca2+]i changes were used to monitor receptor activation, we found that the cell lines stably expressing IL-8RA [CXCR1] and IL-8RB [CXCR2] responded to IL-8 [CXCL8], GROa [CXCL1], and NAP-2 [CXCL7], but not to the CC chemokines MIP-1a [CCL3] and MCP-1 [CCL2] (Fig. 2, a and e)""; ""The unlabeled CC chemokines MIP-1a [CCL3] and MCP-1 [CCL2] did not compete for binding at any of the CXC chemo- kine-labeled sites (Fig. 2, f–h)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably trandsfected HEK293 cells; Binding assay: competition; Binding ligand: 125I-CXCL8; Binding cells: stably transfected HEK293 cells,no interaction,0,C,
CCL2,MCP-1,CXCR2,8550564,"Ahuja, et al. 1996. J Biol Chem","""When [Ca2+]i changes were used to monitor receptor activation, we found that the cell lines stably expressing IL-8RA [CXCR1] and IL-8RB [CXCR2] responded to IL-8 [CXCL8], GROa [CXCL1], and NAP-2 [CXCL7], but not to the CC chemokines MIP-1a [CCL3] and MCP-1 [CCL2] (Fig. 2, a and e)""; ""The unlabeled CC chemokines MIP-1a [CCL3] and MCP-1 [CCL2] did not compete for binding at any of the CXC chemo- kine-labeled sites (Fig. 2, f–h)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably trandsfected HEK293 cells; Binding assay: competition; Binding ligand: 125I-CXCL8; Binding cells: stably transfected HEK293 cells,no interaction,0,C,
CCL2,MCP-1,CXCR3,9660793,"Weng, et al. 1998. J Biol Chem","""Eotaxin [CCL11] and MCP-4 [CCL13] have Ki values of 60 and 70 nm, whereas MCP-3 [CCL7] and RANTES [CCL5] have lower affinities with Ki values of 250 and 420 nm, respectively. Because CCR6 and CCR7 are phylogenetically more closely related to CXCR3 than is CCR3, we also examined the ability of their ligands (MIP-3_ [CCL20] and MIP-3_ [CCL19]) to bind to CXCR3. MIP-3_ [CCL20] does bind with some affinity (Ki = 160 nm), although MIP-3_ [CCL19] shows very little activity (Ki = 1700 nm). Similarly, MIP 1_ [CCL3], MIP1_ [CCL4], and MCP-1 [CCL2], ligands for CCRs 1, 2, and 5 (reviewed in Ref. 1) show little or no affinity for the receptor (data not shown)""",,,,,,Binding assay: competition; Binding ligand: 125I-CXCL10; Binding cells: stably-expressing CHO,no interaction,0,D,"Evidence level ""D"" since data referenced in manuscript are listed as not shown for this ligand"
CCL2,MCP-1,ACKR1,15358176,"Gardner, et al. 1994. Biochem Biophys Res Commun","""the ability of heterologous unlabelled chemokines to displace specific 125I-CXCL-8 binding was examined. In these cross-competition experiments 125I-CXCL-8 was incubated with erythrocytes in the presence of increasing concentrations of 30 different chemokines over the range 0.1 to 1000 nM...chemokines could be classified into three categories: those that showed strong binding (Ki < 100 nM), weak binding (Ki 100 nM–1 lM), and no binding (Ki > 1 lM) (Table 1)""; CCL2 (MCP-1) Ki 34.9nM (Table 1)",34.9,,,,,Binding assay: competition; Binding ligand: 125I-CXCL8,ND,3,A,
CCL2,MCP-1,ACKR2,9405404,"Nibbs, et al. 1997. J Biol Chem","""Ligand displacement analysis was performed on CHO cells stably expressing hD6 [ACKR2], and the data from these studies are outlined in Fig. 3,A and B and summarized in TableI""",16.5,,,,,Binding assay: competition; Binding cells: transfected CHO cells; Binding ligand: 125I-CCL3 (murine),ND,3,A,
CCL2,MCP-1,ACKR2,15067078,"Bonecchi, et al. 2004. J Immunol","""To better characterize the spectrum of chemokines recognized and scavenged by D6, D6/CHO-K1 transfectants were incubated for 3 h with 1.2 nM of various chemokines. At the end of the incubation, the chemokine concentration in the supernatant was measured by ELISA. As shown in Fig. 1, among known D6 ligands, the inflammatory CC chemokines CCL5 and CCL11 were scavenged with the highest efficiency (94.3 ± 0.2 and 92.5 ± 2.1% of the initially seeded chemokine, respectively). CCL7, CCL4, CCL2, and CCL3L1 were scavenged with intermediate efficiency (85.1 ± 0.5, 83.9 ± 2.9, 76.5 ± 2.2, and 76.0 ± 6.6% of the initially seeded chemokine, respectively). Interestingly, CCL3 and CCL3L1, which only differ in the presence of a serine or a proline residue in position 2, were scavenged with different efficacies (29.0 ± 4.1 and 76.0 ± 6.6% of the initially seeded chemokine, respectively), in agreement with previous results reporting that only the CCL3L1 variant is a high affinity D6 ligand (14). CCL1, which does not bind D6 (7), was the only inflammatory CC chemokine tested not scavenged by D6 (3.1 ± 1.4% of the initially seeded chemokine). None of the chemokines tested was scavenged by untransfected CHO-K1 cells. Unlike CC inflammatory chemokines, the homeostatic chemokines CCL19 and CCL20, agonists at CCR7 and CCR6, respectively, were not scavenged (8.2 ± 9.2 and 6.7 ± 12.5% of the initially seeded chemokine, respectively). As expected (7), the CXC chemokine CXCL8 was not scavenged by D6 transfectants (2.4 ± 7.3% of the initially seeded chemokine)""; ""The interaction of CCR4 agonists with D6 was further investigated on D6/L1.2 transfectants in competition binding experiments with 125I-labeled CCL2 (Fig. 4). D6 binds CCL22 more strongly (Ki = 0.33 nM), similarly to CCL2, whereas it binds CCL17 more weakly (Ki = 2.9 nM), similarly to CCL4""",0.33,,,,,Binding assay: competition; Binding ligand: 125I-CCL2; Binding cells: Stably-transfected L1.2Other assay: scavenging assay (incubation of ACKR2-transfected versus untranbsfected cells with chemokines and assessment of supernatant for chemokines by ELISA); Other cells: ACKR2-transfected CHO-K1 cells,agonist,3,A,"""agonist"" inferred because of increased agonist scavenging with ACKR2 ransfection, suggesting ligand-mediated internalization; Exact Kd not listed in manuscript but is inferred by curve similarity to that of CCL22: "" D6 binds CCL22 more strongly (Ki = 0.33 nM), similarly to CCL2"" - listed Kd is the apporximation not the exact Kd of CCL2]; Evidence level ""A"" preserved on this basis"
CCL2,MCP-1,ACKR2,37153591,"Szpakowska, et al. 2023. Front Immunol","""Supplementary Figure 1. ACKR2 activation by different ligands. _-arrestin-1 recruitment to ACKR2 induced by known and the newly proposed ligands such as CCL26,  CXCL2 and CXCL10 monitored by Nanoluciferase complementation assay (NanoBiT). CXCL1 was used as negative control""",,,,,,Signaling assay: NanoBiT B-arrestin recruitment; Signaling cells: transfected HEK293T,agonist,3,A,"Concentration-dependent B-arrestin recruitment observed (""A""-level evidence; Supp. Table 1). While EC50 not listed for this ligand, can be approximated from figure (Supp. Figure 1) as <100nM"
CCL2,MCP-1,ACKR4,32480426,"Meyrath, et al. 2021. J Leukoc Biol","""systematic screening program aiming at reassessing the agonist activity of the 43 human chemokines (24 CCLs, 16 CXCLs, 2 XCLs, and 1 CX3CL) and 2 viral chemokines (vCCL1 and vCCL2) toward ACKR4, by monitoring _-arrestin recruitment to the receptor using a highly sensitive Nanoluciferase complementation-based assay (NanoBiT) (Fig. 1A).20–22 In agreement with the initial description by Matti and co-authors, our systematic analysis also identified CCL20 as an ACKR4 ligand capable of inducing _-arrestin-1 and _-arrestin-2 recruitment to the receptor and behaving as a partial agonist (80% efficacy) with a potency (EC50 = 42 nM) somewhat lower than potencies observed for CCL19 (EC50 = 3 nM), CCL21 (EC50 = 5 nM), and CCL25 (EC50 = 24 nM) (Fig. 1B)""",,,,,,Signaling assay:  _-arrestin recruitment using NanoBiT; Signaling cells: U87 cells,no interaction,0,C,"Note that this paper performs both single point assays with ligands at 100nM (43 chemokines) and dose-response assays (9 chemokines, 7 of which are native human chemokines); Evidence Grade ""C"" for this ligand because conclusion of ""no interaction"" derived from single concentration point"
