CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS0A021DB6E,simple:P13501,simple:P32246,CCL5,CCR1,ENSG00000274233,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS02CC53E89,simple:P80098,simple:P32246,CCL7,CCR1,ENSG00000108688,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS087054090,simple:P80075,simple:P32246,CCL8,CCR1,ENSG00000108700,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS02647DD07,simple:Q99616,simple:P41597,CCL13,CCR2,ENSG00000181374,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS093922D5A,simple:O15467,simple:P41597,CCL16,CCR2,ENSG00000275152,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CF0E4DE9,simple:P13500,simple:P41597,CCL2,CCR2,ENSG00000108691,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2E7931B,simple:Q9Y258,simple:P41597,CCL26,CCR2,ENSG00000006606,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F5AA0D9B,simple:P80098,simple:P41597,CCL7,CCR2,ENSG00000108688,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS019381277,simple:P80075,simple:P41597,CCL8,CCR2,ENSG00000108700,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS02647DD07,simple:Q99616,simple:P41597,CCL13,CCR2,ENSG00000181374,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS093922D5A,simple:O15467,simple:P41597,CCL16,CCR2,ENSG00000275152,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CF0E4DE9,simple:P13500,simple:P41597,CCL2,CCR2,ENSG00000108691,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2E7931B,simple:Q9Y258,simple:P41597,CCL26,CCR2,ENSG00000006606,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F5AA0D9B,simple:P80098,simple:P41597,CCL7,CCR2,ENSG00000108688,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS019381277,simple:P80075,simple:P41597,CCL8,CCR2,ENSG00000108700,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F33890C0,simple:P51671,simple:P51677,CCL11,CCR3,ENSG00000172156,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09DAE86C9,simple:Q99616,simple:P51677,CCL13,CCR3,ENSG00000181374,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS07D36FFB5,simple:Q16627,simple:P51677,CCL14,CCR3,ENSG00000276409,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0223F2B31,simple:Q16663,simple:P51677,CCL15,CCR3,ENSG00000275718,ENSG00000183625,curated,RVentoTormo,uniprot,TRUE
CPI-SS0B0AC1603,simple:O00175,simple:P51677,CCL24,CCR3,ENSG00000106178,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01FCCEBB9,simple:Q9Y258,simple:P51677,CCL26,CCR3,ENSG00000006606,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C6311D2D,simple:P16619,simple:P51677,CCL3L1,CCR3,ENSG00000276085,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F6B529A1,simple:P13501,simple:P51677,CCL5,CCR3,ENSG00000274233,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS008CEEAB9,simple:P80098,simple:P51677,CCL7,CCR3,ENSG00000108688,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0DF6991A8,simple:P80075,simple:P51677,CCL8,CCR3,ENSG00000108700,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F33890C0,simple:P51671,simple:P51677,CCL11,CCR3,ENSG00000172156,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09DAE86C9,simple:Q99616,simple:P51677,CCL13,CCR3,ENSG00000181374,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS07D36FFB5,simple:Q16627,simple:P51677,CCL14,CCR3,ENSG00000276409,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0223F2B31,simple:Q16663,simple:P51677,CCL15,CCR3,ENSG00000275718,ENSG00000183625,curated,RVentoTormo,uniprot,TRUE
CPI-SS0B0AC1603,simple:O00175,simple:P51677,CCL24,CCR3,ENSG00000106178,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01FCCEBB9,simple:Q9Y258,simple:P51677,CCL26,CCR3,ENSG00000006606,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C6311D2D,simple:P16619,simple:P51677,CCL3L1,CCR3,ENSG00000276085,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F6B529A1,simple:P13501,simple:P51677,CCL5,CCR3,ENSG00000274233,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS008CEEAB9,simple:P80098,simple:P51677,CCL7,CCR3,ENSG00000108688,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0DF6991A8,simple:P80075,simple:P51677,CCL8,CCR3,ENSG00000108700,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0EDD38B58,simple:Q92583,simple:P51679,CCL17,CCR4,ENSG00000102970,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS052B38F1C,simple:O00626,simple:P51679,CCL22,CCR4,ENSG00000102962,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0EA05941A,simple:P13501,simple:P51679,CCL5,CCR4,ENSG00000274233,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0EDD38B58,simple:Q92583,simple:P51679,CCL17,CCR4,ENSG00000102970,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS052B38F1C,simple:O00626,simple:P51679,CCL22,CCR4,ENSG00000102962,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0EA05941A,simple:P13501,simple:P51679,CCL5,CCR4,ENSG00000274233,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C090A257,simple:P10147,simple:P51681,CCL3,CCR5,ENSG00000277632,ENSG00000160791,curated,RVentoTormo,PMID:15251452,TRUE
CPI-SS0D1D95883,simple:P13236,simple:P51681,CCL4,CCR5,ENSG00000275824,ENSG00000160791,curated,RVentoTormo,uniprot,TRUE
CPI-SS0B01D306C,simple:P13501,simple:P51681,CCL5,CCR5,ENSG00000274233,ENSG00000160791,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09C16258E,simple:P80098,simple:P51681,CCL7,CCR5,ENSG00000108688,ENSG00000160791,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C30EC0DE,simple:P80075,simple:P51681,CCL8,CCR5,ENSG00000108700,ENSG00000160791,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C090A257,simple:P10147,simple:P51681,CCL3,CCR5,ENSG00000277632,ENSG00000160791,curated,RVentoTormo,PMID:15251452,TRUE
CPI-SS0D1D95883,simple:P13236,simple:P51681,CCL4,CCR5,ENSG00000275824,ENSG00000160791,curated,RVentoTormo,uniprot,TRUE
CPI-SS0B01D306C,simple:P13501,simple:P51681,CCL5,CCR5,ENSG00000274233,ENSG00000160791,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09C16258E,simple:P80098,simple:P51681,CCL7,CCR5,ENSG00000108688,ENSG00000160791,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C30EC0DE,simple:P80075,simple:P51681,CCL8,CCR5,ENSG00000108700,ENSG00000160791,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0079E2156,simple:P78556,simple:P51684,CCL20,CCR6,ENSG00000115009,ENSG00000112486,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0605AC9BF,simple:Q99731,simple:O00421,CCL19,CCRL2,ENSG00000172724,ENSG00000121797,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS09EB0DFB1,simple:Q99969,simple:O00421,RARRES2,CCRL2,ENSG00000106538,ENSG00000121797,curated,LGarciaAlonso,uniprot,TRUE
