CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS0315F51DD,simple:P10145,simple:P25025,CXCL8,CXCR2,ENSG00000169429,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0698C4DC4,simple:P10145,simple:P25024,CXCL8,CXCR1,ENSG00000169429,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS068BC31E4,simple:Q07325,simple:P27487,CXCL9,DPP4,ENSG00000138755,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09A1EB4B3,simple:Q07325,simple:P49682,CXCL9,CXCR3,ENSG00000138755,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS068BC31E4,simple:Q07325,simple:P27487,CXCL9,DPP4,ENSG00000138755,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09A1EB4B3,simple:Q07325,simple:P49682,CXCL9,CXCR3,ENSG00000138755,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0FDAB7BA8,simple:P02778,simple:P27487,CXCL10,DPP4,ENSG00000169245,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS080683E15,simple:P02778,simple:P49682,CXCL10,CXCR3,ENSG00000169245,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CC738ABC,simple:O14625,simple:P27487,CXCL11,DPP4,ENSG00000169248,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09FAC4977,simple:O14625,simple:P49682,CXCL11,CXCR3,ENSG00000169248,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0747FCACD,simple:O14625,simple:P25106,CXCL11,ACKR3,ENSG00000169248,ENSG00000144476,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0B1B18F2D,simple:P48061,simple:P27487,CXCL12,DPP4,ENSG00000107562,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0A28DCA72,simple:P48061,simple:P61073,CXCL12,CXCR4,ENSG00000107562,ENSG00000121966,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS083B5EBAB,simple:O43927,simple:Q9NPB9,CXCL13,ACKR4,ENSG00000156234,ENSG00000129048,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2437E0D,simple:O43927,simple:P32302,CXCL13,CXCR5,ENSG00000156234,ENSG00000160683,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0669CC233,simple:O95715,simple:P61073,CXCL14,CXCR4,ENSG00000145824,ENSG00000121966,curated,LGarciaAlonso,PMID:32212206,TRUE
CPI-SS0B1535576,simple:Q9H2A7,simple:O00574,CXCL16,CXCR6,ENSG00000161921,ENSG00000172215,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0E29693E6,simple:Q9UBD3,simple:P46094,XCL2,XCR1,ENSG00000143185,ENSG00000173578,curated,RVentoTormo,uniprot,TRUE
CPI-SS0E29693E6,simple:Q9UBD3,simple:P46094,XCL2,XCR1,ENSG00000143185,ENSG00000173578,curated,RVentoTormo,uniprot,TRUE
CPI-SS0388C9C86,simple:P78423,simple:P49238,CX3CL1,CX3CR1,ENSG00000006210,ENSG00000168329,curated,RVentoTormo,PMID:24218476,TRUE
